  -3.4999999999929996e-06	  -3.4999999999929996e-06	  -3.4999999999929996e-06	  -3.4999999999929996e-06	  -3.4999999999930003e+00	
  -3.6887563048916276e-06	  -3.6887563048916276e-06	  -3.6887563048916276e-06	  -1.9414506867850670e-01	  -3.4946112362131210e+00	
  -3.8849714816087764e-06	  -3.8849714816087764e-06	  -3.8849714816087764e-06	  -4.0894436648513433e-01	  -3.4760271151236424e+00	
  -4.0850625269374282e-06	  -4.0850625269374282e-06	  -4.0850625269374282e-06	  -6.4500987267433074e-01	  -3.4400526542630971e+00	
  -4.2836415655558999e-06	  -4.2836415655558999e-06	  -4.2836415655558999e-06	  -9.0181927695913688e-01	  -3.3818222885967635e+00	
  -4.4732740800645177e-06	  -4.4732740800645177e-06	  -4.4732740800645177e-06	  -1.1771773894906625e+00	  -3.2960966905738549e+00	
  -4.6445614668554255e-06	  -4.6445614668554255e-06	  -4.6445614668554255e-06	  -1.4667036211122397e+00	  -3.1778578457431870e+00	
  -4.7867747424653884e-06	  -4.7867747424653884e-06	  -4.7867747424653884e-06	  -1.7635485893293537e+00	  -3.0232261531360347e+00	
  -4.8891772369095107e-06	  -4.8891772369095107e-06	  -4.8891772369095107e-06	  -2.0586009418566360e+00	  -2.8305762950528748e+00	
  -4.9429060725288685e-06	  -4.9429060725288685e-06	  -4.9429060725288685e-06	  -2.3413765606715691e+00	  -2.6015295118572990e+00	
  -4.9429060725288685e-06	  -4.9429060725288685e-06	  -4.9429060725288685e-06	  -2.6015295118572990e+00	  -2.3413765606715691e+00	
  -4.8891772369095107e-06	  -4.8891772369095107e-06	  -4.8891772369095107e-06	  -2.8305762950528748e+00	  -2.0586009418566360e+00	
  -4.7867747424653884e-06	  -4.7867747424653884e-06	  -4.7867747424653884e-06	  -3.0232261531360347e+00	  -1.7635485893293537e+00	
  -4.6445614668554264e-06	  -4.6445614668554264e-06	  -4.6445614668554264e-06	  -3.1778578457431870e+00	  -1.4667036211122400e+00	
  -4.4732740800645177e-06	  -4.4732740800645177e-06	  -4.4732740800645177e-06	  -3.2960966905738549e+00	  -1.1771773894906625e+00	
  -4.2836415655558999e-06	  -4.2836415655558999e-06	  -4.2836415655558999e-06	  -3.3818222885967635e+00	  -9.0181927695913688e-01	
  -4.0850625269374282e-06	  -4.0850625269374282e-06	  -4.0850625269374282e-06	  -3.4400526542630971e+00	  -6.4500987267433074e-01	
  -3.8849714816087764e-06	  -3.8849714816087764e-06	  -3.8849714816087764e-06	  -3.4760271151236424e+00	  -4.0894436648513433e-01	
